tweet_id,text,url,date,author,retweet_count,reply_count,likes_count,quote_count,mentions,hashtags,media
1434907760982855687,"RT @Vilavaite: ""Complete tear or avulsion of the lateral collateral ligament was the most significant predictor at #MRI of #knee posterolat…",https://twitter.com/3690598643/status/1434907760982855687,2021-09-06T15:54:04.000Z,3690598643,4,0,0,0,@Vilavaite,"#MRI, #knee",
1434907744566398991,"Serous borderline ovarian tumours: an extensive review on MR imaging features
https://t.co/KY8xGH3sA1
#MRI #Radiology #obgyntwitter https://t.co/lPmmCOf19q",https://twitter.com/2474090112/status/1434907744566398991,2021-09-06T15:54:00.000Z,2474090112,0,0,1,0,,"#MRI, #Radiology, #obgyntwitter",https://pbs.twimg.com/media/E9owN6VXIAUXX7d.png
1434907343150592004,RT @ajgunnmd: I am really looking forward to a detailed discussion on #IRad approaches to treating difficulty kidney cancers using cryoabla…,https://twitter.com/1276577559648575489/status/1434907343150592004,2021-09-06T15:52:24.000Z,1276577559648575489,4,0,0,0,@ajgunnmd,#IRad,
1434906642081013764,RT @ajgunnmd: I am really looking forward to a detailed discussion on #IRad approaches to treating difficulty kidney cancers using cryoabla…,https://twitter.com/438762168/status/1434906642081013764,2021-09-06T15:49:37.000Z,438762168,4,0,0,0,@ajgunnmd,#IRad,
1434906417132187649,"RT @BJR_Radiology: Differentiating uterine sarcoma from leiomyoma: BET1T2ER Check!
https://t.co/SGGlZmPJo7
#Radiology #obgyntwitter #OpenAc…",https://twitter.com/635447094/status/1434906417132187649,2021-09-06T15:48:43.000Z,635447094,1,0,0,0,@BJR_Radiology,"#Radiology, #obgyntwitter",
1434906056946225155,RT @LilyBelfi: We have done it! 100 peer-reviewed radiology teaching modules published on our https://t.co/lmG7SkmyIL website! Huge congrat…,https://twitter.com/1286850033590112262/status/1434906056946225155,2021-09-06T15:47:17.000Z,1286850033590112262,35,0,0,0,@LilyBelfi,,
1434905883956350978,"Deep-learning analysis of joint MRI exams is an up-and-coming application of #ArtificialIntelligence that could dramatically change the practice of musculoskeletal radiology #Radiology #Imaging 
https://t.co/GuIzJ0LlkL",https://twitter.com/588565893/status/1434905883956350978,2021-09-06T15:46:36.000Z,588565893,0,0,0,0,,"#ArtificialIntelligence, #Radiology, #Imaging",
1434905689101508612,"#ArtificialIntelligence still has a ways to go before it can outperform breast imagers or even be used in clinical settings, according to a literature review published September 1 in BMJ #Radiology #Imaging 
https://t.co/MrzU5sMoTe",https://twitter.com/588565893/status/1434905689101508612,2021-09-06T15:45:50.000Z,588565893,0,0,0,0,,"#ArtificialIntelligence, #Radiology, #Imaging",
1434905545782276099,"Computer-aided diagnosis using deep learning shows potential for improving the ability of readers to identify and classify lung nodules on CT imaging #Radiology #Imaging #CTRad 
https://t.co/NgMXZlqIa1",https://twitter.com/588565893/status/1434905545782276099,2021-09-06T15:45:16.000Z,588565893,0,0,0,0,,"#Radiology, #Imaging, #CTRad",
1434905227942113282,"Differentiating uterine sarcoma from leiomyoma: BET1T2ER Check!
https://t.co/SGGlZmPJo7
#Radiology #obgyntwitter #OpenAccess https://t.co/eKRdZm1m7R",https://twitter.com/2474090112/status/1434905227942113282,2021-09-06T15:44:00.000Z,2474090112,1,0,1,0,,"#Radiology, #obgyntwitter, #OpenAccess",https://pbs.twimg.com/media/E9ot_SsWEAMwi_Z.png
1434905192600780801,RT @Radiology_AI: Learn the details of a winning solution to the 2020 @RSNA-@thoracicRad Pulmonary Embolism Detection competition https://t…,https://twitter.com/1370732227/status/1434905192600780801,2021-09-06T15:43:51.000Z,1370732227,2,0,0,0,"@Radiology_AI, @RSNA, @thoracicrad",,
1434904747375480835,"RT @HgeImagen: En el siguiente caso se muestra una imagen representativa de estudio ultrasonográfico obstétrico de segundo trimestre, ¿Cuál…",https://twitter.com/1360079651633328130/status/1434904747375480835,2021-09-06T15:42:05.000Z,1360079651633328130,4,0,0,0,@HgeImagen,,
1434903849454632960,RT @LilyBelfi: We have done it! 100 peer-reviewed radiology teaching modules published on our https://t.co/lmG7SkmyIL website! Huge congrat…,https://twitter.com/1184285106/status/1434903849454632960,2021-09-06T15:38:31.000Z,1184285106,35,0,0,0,@LilyBelfi,,
