1440597874803306502,"We seek to raise the bar higher, not only for ourselves, but for healthcare everywhere. Being bigger isn’t our goal, being better is. If you’re committed to patient care like us, apply to join our team in #Hopewell, VA. https://t.co/VDg5O7qUFX #radiology",https://twitter.com/HcaTech/status/1440597874803306502,2021-09-22T08:44:33.000Z,en,HcaTech,https://twitter.com/HcaTech,"We eagerly embrace the challenges of our profession and welcome new opportunities to grow and make a positive impact. #HCAHealthcare

https://t.co/0pCNfUjkbY",HCATechJobs,1475,108,2084,0,0,0,0,,"#Hopewell, #radiology",
1440596914320273414,Great initiative by @ProfDewey. This course will cover fundamental questions about #research in #radiology. Check it out. @myESR https://t.co/RWz5YK3mdR,https://twitter.com/AfatDr/status/1440596914320273414,2021-09-22T08:40:44.000Z,en,AfatDr,https://twitter.com/AfatDr,Radiologist at university hospital of Tübingen,Dr. Saif Afat,101,149,185,0,0,2,0,"@ProfDewey, @myESR","#research, #radiology",
1440596410676568065,"Amit Phadnis, @GEHealthcare CDO: ""With AI constantly evolving and being trained to replicate physicians’ clinical decision-making process, this would build more trust in the technology."" 
https://t.co/OAFYNcRKaB 
#AI #digitalhealth #healthtech #remotemonitoring #radiology",https://twitter.com/fwhealthtech/status/1440596410676568065,2021-09-22T08:38:43.000Z,en,fwhealthtech,https://twitter.com/fwhealthtech,FirstWord HealthTech provides timely news updates and analyses of key developments shaping the digital healthcare landscape.,FirstWord HealthTech,1635,967,8675,0,0,1,1,@GEHealthcare,"#AI, #digitalhealth, #healthtech, #remotemonitoring, #radiology",
1440590692988821512,West Texas   | #radiologistjob #radiologistjobs #radiologist #foamrad #radiologyacr #raddoc #radres #radfellows #mdjobsite | https://t.co/8IwvFoaRWJ,https://twitter.com/MDJobSite/status/1440590692988821512,2021-09-22T08:16:00.000Z,en,MDJobSite,https://twitter.com/MDJobSite,👩‍⚕️#Physician Jobs👨‍⚕️Follow us and join https://t.co/34nmfG5pid to view jobs with top employers. #physicians #doctor #doctors #physicianjobs #doctorjobs #mdjobsite,Physician Jobs - MDJobSite.com,11059,9760,123968,1,0,0,0,,"#radiologistjob, #radiologistjobs, #radiologist, #foamrad, #radiologyacr, #raddoc, #radres, #radfellows, #mdjobsite",
1440587482232279043,"Want to work in Aurora, CO? View our latest opening: https://t.co/uLWrPNpU0s #radiology #Medtech",https://twitter.com/HcaTech/status/1440587482232279043,2021-09-22T08:03:15.000Z,en,HcaTech,https://twitter.com/HcaTech,"We eagerly embrace the challenges of our profession and welcome new opportunities to grow and make a positive impact. #HCAHealthcare

https://t.co/0pCNfUjkbY",HCATechJobs,1475,108,2084,0,0,0,0,,"#radiology, #Medtech",
1440586895575056390,"#IDS2021 starts today! Come and meet us at Hall 11.1, Stand J040 where we will be highlighting our intraoral 3D X-ray imaging technology. https://t.co/QV5L8zZxdJ #IDS2021 #radiology #transformingradiology https://t.co/ig525fhIND",https://twitter.com/adaptiximaging/status/1440586895575056390,2021-09-22T08:00:55.000Z,en,adaptiximaging,https://twitter.com/adaptiximaging,"Transforming Radiology.  Low-dose, low-cost 3D imaging made truly portable.",Adaptix Ltd,356,109,179,0,0,0,0,,"#IDS2021, #IDS2021, #radiology, #transformingradiology",https://pbs.twimg.com/media/E_3-Ja6UYAMKsVs.jpg
1440586302731132941,"ESUR 2021 has been officially accredited by EACCME® for 16 European CME credits (ECMEC®). Visit the #ESUR2021 website and join us to the congress.
https://t.co/hrSAkHXmCA
#esur2021 #radiology https://t.co/54AbMnpG72",https://twitter.com/EsurOffice/status/1440586302731132941,2021-09-22T07:58:34.000Z,en,EsurOffice,https://twitter.com/EsurOffice,"The European Society of Urogenital Radiology is a non-profit society, dedicated to advancing knowledge and expertise in the field of urogential radiology.",European Society of Urogenital Radiology,586,40,52,0,0,1,0,,"#ESUR2021, #esur2021, #radiology",https://pbs.twimg.com/media/E_39lXrVQAcwJ_P.jpg
1440586021515587587,"📰 Design of a 3D printed coronary artery model for CT optimization
⭐#openaccess
https://t.co/SlsLM3269u

#computedtomography #radiography #radiology",https://twitter.com/RadiographyJour/status/1440586021515587587,2021-09-22T07:57:26.000Z,en,RadiographyJour,https://twitter.com/RadiographyJour,"Published by Elsevier for the Society & College of Radiographers, it is the official journal of the European Federation of Radiographer Societies.",Radiography Journal,3192,440,1241,0,1,5,0,,"#openaccess, #computedtomography, #radiography, #radiology",
1440581766452953097,Fab picture of this radiological sign. Check it out below… #Radiology ☢️ #FOAMrad #FOAMed #MedTwitter #FOAMed https://t.co/8okBKpizkD,https://twitter.com/SecondaryCare/status/1440581766452953097,2021-09-22T07:40:32.000Z,en,SecondaryCare,https://twitter.com/SecondaryCare,"A place to share useful educational resources. Designed to give the whole MDT some CPD, knowledge & tips to help all acute care areas. #FOAMMed #CPD 🌈",Secondary Care Education (Scotland),95,83,159,0,0,0,0,,"#Radiology, #FOAMrad, #FOAMed, #MedTwitter, #FOAMed",
1440580398115803140,Liver lesion with contrast fill-in:  What's the diagnosis? https://t.co/ldcWLUV1W4 #FOAMed #radiology #Gamuts https://t.co/a4m4RvcbMx,https://twitter.com/RadiologyGamuts/status/1440580398115803140,2021-09-22T07:35:06.000Z,en,RadiologyGamuts,https://twitter.com/RadiologyGamuts,"Knowledge of 16,912 imaging findings and diseases to support #AI in #radiology

#ArtificialIntelligence #MachineLearning #FOAMrad",Radiology Knowledge,6065,4120,8021,0,0,1,0,,"#FOAMed, #radiology, #Gamuts",https://pbs.twimg.com/media/E_34PQTVgAccyVl.png
